
VENEZ
ntry,Top5,l0,f0,l1,f1,l2,f2,l3,f3,l4,f4
0,0,_,_,_,_,_,_,_,_,_,_
0,1,_,_,_,_,_,_,_,_,_,_
0,2,_,_,_,_,_,_,_,_,_,_
0,3,_,_,_,_,_,_,_,_,_,_
0,4,_,_,_,_,_,_,_,_,_,_

1,0,_,_,_,_,_,_,_,_,_,_
1,1,_,_,_,_,_,_,_,_,_,_
1,2,_,_,_,_,_,_,_,_,_,_
1,3,_,_,_,_,_,_,_,_,_,_
1,4,_,_,_,_,_,_,_,_,_,_

2,0,_,_,_,_,_,_,_,_,_,_
2,1,_,_,_,_,_,_,_,_,_,_
2,2,_,_,_,_,_,_,_,_,_,_
2,3,_,_,_,_,_,_,_,_,_,_
2,4,_,_,_,_,_,_,_,_,_,_

3,0,_,_,_,_,_,_,_,_,_,_
3,1,_,_,_,_,_,_,_,_,_,_
3,2,_,_,_,_,_,_,_,_,_,_
3,3,_,_,_,_,_,_,_,_,_,_
3,4,_,_,_,_,_,_,_,_,_,_

4,0,_,_,_,_,_,_,_,_,_,_
4,1,_,_,_,_,_,_,_,_,_,_
4,2,_,_,_,_,_,_,_,_,_,_
4,3,_,_,_,_,_,_,_,_,_,_
4,4,_,_,_,_,_,_,_,_,_,_


CARNE
ntry,Top5,l0,f0,l1,f1,l2,f2,l3,f3,l4,f4
0,0,_,_,_,_,_,_,_,_,_,_
0,1,_,_,_,_,_,_,_,_,_,_
0,2,_,_,_,_,_,_,_,_,_,_
0,3,_,_,_,_,_,_,_,_,_,_
0,4,_,_,_,_,_,_,_,_,_,_

1,0,_,_,_,_,_,_,_,_,_,_
1,1,_,_,_,_,_,_,_,_,_,_
1,2,_,_,_,_,_,_,_,_,_,_
1,3,_,_,_,_,_,_,_,_,_,_
1,4,_,_,_,_,_,_,_,_,_,_

2,0,_,_,_,_,_,_,_,_,_,_
2,1,_,_,_,_,_,_,_,_,_,_
2,2,_,_,_,_,_,_,_,_,_,_
2,3,_,_,_,_,_,_,_,_,_,_
2,4,_,_,_,_,_,_,_,_,_,_

3,0,_,_,_,_,_,_,_,_,_,_
3,1,_,_,_,_,_,_,_,_,_,_
3,2,_,_,_,_,_,_,_,_,_,_
3,3,_,_,_,_,_,_,_,_,_,_
